Planta;Total Energy;Total Consumption;Total Import;Total Export;Total Self-consumpion
1;6.37;6.37;6.37;6.37;6.37
1;6.43;6.43;6.43;6.43;6.43
1;6.49;6.49;6.49;6.49;6.49
1;6.55;6.55;6.55;6.55;6.55
1;6.61;6.61;6.61;6.61;6.61
1;6.67;6.67;6.67;6.67;6.67
1;6.73;6.73;6.73;6.73;6.73
1;6.79;6.79;6.79;6.79;6.79
1;6.85;6.85;6.85;6.85;6.85
1;6.91;6.91;6.91;6.91;6.91
1;6.98;6.98;6.98;6.98;6.98
1;7.04;7.04;7.04;7.04;7.04
1;7.1;7.1;7.1;7.1;7.1
1;7.16;7.16;7.16;7.16;7.16
1;7.22;7.22;7.22;7.22;7.22
1;7.28;7.28;7.28;7.28;7.28
1;7.34;7.34;7.34;7.34;7.34
1;7.4;7.4;7.4;7.4;7.4
1;7.46;7.46;7.46;7.46;7.46
1;7.52;7.52;7.52;7.52;7.52
1;7.58;7.58;7.58;7.58;7.58
1;7.64;7.64;7.64;7.64;7.64
1;7.7;7.7;7.7;7.7;7.7
1;7.76;7.76;7.76;7.76;7.76
1;7.82;7.82;7.82;7.82;7.82
1;7.88;7.88;7.88;7.88;7.88
1;7.95;7.95;7.95;7.95;7.95
1;8.01;8.01;8.01;8.01;8.01
1;8.07;8.07;8.07;8.07;8.07
1;8.13;8.13;8.13;8.13;8.13
1;8.19;8.19;8.19;8.19;8.19
1;8.25;8.25;8.25;8.25;8.25
1;8.31;8.31;8.31;8.31;8.31
1;8.37;8.37;8.37;8.37;8.37
1;8.43;8.43;8.43;8.43;8.43
1;8.49;8.49;8.49;8.49;8.49
1;8.55;8.55;8.55;8.55;8.55
1;8.61;8.61;8.61;8.61;8.61
1;8.67;8.67;8.67;8.67;8.67
1;8.73;8.73;8.73;8.73;8.73
1;8.79;8.79;8.79;8.79;8.79
1;8.85;8.85;8.85;8.85;8.85
1;8.92;8.92;8.92;8.92;8.92
1;8.98;8.98;8.98;8.98;8.98
1;9.04;9.04;9.04;9.04;9.04
1;9.1;9.1;9.1;9.1;9.1
1;9.16;9.16;9.16;9.16;9.16
1;9.22;9.22;9.22;9.22;9.22
1;9.28;9.28;9.28;9.28;9.28
1;9.34;9.34;9.34;9.34;9.34
1;9.4;9.4;9.4;9.4;9.4
1;9.46;9.46;9.46;9.46;9.46
1;9.52;9.52;9.52;9.52;9.52
1;9.58;9.58;9.58;9.58;9.58
1;9.64;9.64;9.64;9.64;9.64
1;9.7;9.7;9.7;9.7;9.7
1;9.76;9.76;9.76;9.76;9.76
1;9.82;9.82;9.82;9.82;9.82
1;9.88;9.88;9.88;9.88;9.88
1;9.95;9.95;9.95;9.95;9.95
1;10.01;10.01;10.01;10.01;10.01
1;10.07;10.07;10.07;10.07;10.07
1;10.13;10.13;10.13;10.13;10.13
1;10.19;10.19;10.19;10.19;10.19
1;10.25;10.25;10.25;10.25;10.25
1;10.31;10.31;10.31;10.31;10.31
1;10.37;10.37;10.37;10.37;10.37
1;10.43;10.43;10.43;10.43;10.43
1;10.49;10.49;10.49;10.49;10.49
1;10.55;10.55;10.55;10.55;10.55
1;10.61;10.61;10.61;10.61;10.61
1;10.67;10.67;10.67;10.67;10.67
1;10.73;10.73;10.73;10.73;10.73
1;10.79;10.79;10.79;10.79;10.79
1;10.85;10.85;10.85;10.85;10.85
1;10.92;10.92;10.92;10.92;10.92
1;10.98;10.98;10.98;10.98;10.98
1;11.04;11.04;11.04;11.04;11.04
1;11.1;11.1;11.1;11.1;11.1
1;11.16;11.16;11.16;11.16;11.16
1;11.22;11.22;11.22;11.22;11.22
1;11.28;11.28;11.28;11.28;11.28
1;11.34;11.34;11.34;11.34;11.34
1;11.4;11.4;11.4;11.4;11.4
1;11.46;11.46;11.46;11.46;11.46
1;11.52;11.52;11.52;11.52;11.52
1;11.58;11.58;11.58;11.58;11.58
1;11.64;11.64;11.64;11.64;11.64
1;11.7;11.7;11.7;11.7;11.7
1;11.76;11.76;11.76;11.76;11.76
1;11.82;11.82;11.82;11.82;11.82
1;11.89;11.89;11.89;11.89;11.89
1;11.95;11.95;11.95;11.95;11.95
1;12.01;12.01;12.01;12.01;12.01
1;12.07;12.07;12.07;12.07;12.07
1;12.13;12.13;12.13;12.13;12.13
1;12.19;12.19;12.19;12.19;12.19
1;12.25;12.25;12.25;12.25;12.25
1;12.31;12.31;12.31;12.31;12.31
1;12.37;12.37;12.37;12.37;12.37
1;12.43;12.43;12.43;12.43;12.43
1;12.49;12.49;12.49;12.49;12.49
1;12.55;12.55;12.55;12.55;12.55
1;12.61;12.61;12.61;12.61;12.61
1;12.67;12.67;12.67;12.67;12.67
1;12.73;12.73;12.73;12.73;12.73
1;12.79;12.79;12.79;12.79;12.79
1;12.86;12.86;12.86;12.86;12.86
1;12.92;12.92;12.92;12.92;12.92
1;12.98;12.98;12.98;12.98;12.98
1;13.04;13.04;13.04;13.04;13.04
1;13.1;13.1;13.1;13.1;13.1
1;13.16;13.16;13.16;13.16;13.16
1;13.22;13.22;13.22;13.22;13.22
1;13.28;13.28;13.28;13.28;13.28
1;13.34;13.34;13.34;13.34;13.34
1;13.4;13.4;13.4;13.4;13.4
1;13.46;13.46;13.46;13.46;13.46
1;13.52;13.52;13.52;13.52;13.52
1;13.58;13.58;13.58;13.58;13.58
1;13.64;13.64;13.64;13.64;13.64
1;13.7;13.7;13.7;13.7;13.7
1;13.76;13.76;13.76;13.76;13.76
1;13.82;13.82;13.82;13.82;13.82
1;13.89;13.89;13.89;13.89;13.89
1;13.95;13.95;13.95;13.95;13.95
1;14.01;14.01;14.01;14.01;14.01
1;14.07;14.07;14.07;14.07;14.07
1;14.13;14.13;14.13;14.13;14.13
1;14.19;14.19;14.19;14.19;14.19
1;14.25;14.25;14.25;14.25;14.25
1;14.31;14.31;14.31;14.31;14.31
1;14.37;14.37;14.37;14.37;14.37
1;14.43;14.43;14.43;14.43;14.43
1;14.49;14.49;14.49;14.49;14.49
1;14.55;14.55;14.55;14.55;14.55
1;14.61;14.61;14.61;14.61;14.61
1;14.67;14.67;14.67;14.67;14.67
1;14.73;14.73;14.73;14.73;14.73
1;14.79;14.79;14.79;14.79;14.79
1;14.86;14.86;14.86;14.86;14.86
1;14.92;14.92;14.92;14.92;14.92
1;14.98;14.98;14.98;14.98;14.98
1;15.04;15.04;15.04;15.04;15.04
1;15.1;15.1;15.1;15.1;15.1
1;15.16;15.16;15.16;15.16;15.16
1;15.22;15.22;15.22;15.22;15.22
1;15.28;15.28;15.28;15.28;15.28
1;15.34;15.34;15.34;15.34;15.34
1;15.4;15.4;15.4;15.4;15.4
1;15.46;15.46;15.46;15.46;15.46
1;15.52;15.52;15.52;15.52;15.52
1;15.58;15.58;15.58;15.58;15.58
1;15.64;15.64;15.64;15.64;15.64
1;15.7;15.7;15.7;15.7;15.7
1;15.76;15.76;15.76;15.76;15.76
1;15.83;15.83;15.83;15.83;15.83
1;15.89;15.89;15.89;15.89;15.89
1;15.95;15.95;15.95;15.95;15.95
1;16.01;16.01;16.01;16.01;16.01
1;16.07;16.07;16.07;16.07;16.07
1;16.13;16.13;16.13;16.13;16.13
1;16.19;16.19;16.19;16.19;16.19
1;16.25;16.25;16.25;16.25;16.25
1;16.31;16.31;16.31;16.31;16.31
1;16.37;16.37;16.37;16.37;16.37
1;16.43;16.43;16.43;16.43;16.43
1;16.49;16.49;16.49;16.49;16.49
1;16.55;16.55;16.55;16.55;16.55
1;16.61;16.61;16.61;16.61;16.61
1;16.67;16.67;16.67;16.67;16.67
1;16.73;16.73;16.73;16.73;16.73
1;16.8;16.8;16.8;16.8;16.8
1;16.86;16.86;16.86;16.86;16.86
1;16.92;16.92;16.92;16.92;16.92
1;16.98;16.98;16.98;16.98;16.98
1;17.04;17.04;17.04;17.04;17.04
1;17.1;17.1;17.1;17.1;17.1
1;17.16;17.16;17.16;17.16;17.16
1;17.22;17.22;17.22;17.22;17.22
1;17.28;17.28;17.28;17.28;17.28
1;17.34;17.34;17.34;17.34;17.34
1;17.4;17.4;17.4;17.4;17.4
1;17.46;17.46;17.46;17.46;17.46
1;17.52;17.52;17.52;17.52;17.52
1;17.58;17.58;17.58;17.58;17.58
1;17.64;17.64;17.64;17.64;17.64
1;17.7;17.7;17.7;17.7;17.7
1;17.76;17.76;17.76;17.76;17.76
1;17.83;17.83;17.83;17.83;17.83
1;17.89;17.89;17.89;17.89;17.89
1;17.95;17.95;17.95;17.95;17.95
1;18.01;18.01;18.01;18.01;18.01
1;18.07;18.07;18.07;18.07;18.07
1;18.13;18.13;18.13;18.13;18.13
1;18.19;18.19;18.19;18.19;18.19
1;18.25;18.25;18.25;18.25;18.25
1;18.31;18.31;18.31;18.31;18.31
1;18.37;18.37;18.37;18.37;18.37
1;18.43;18.43;18.43;18.43;18.43
1;18.49;18.49;18.49;18.49;18.49
1;18.55;18.55;18.55;18.55;18.55
1;18.61;18.61;18.61;18.61;18.61
1;18.67;18.67;18.67;18.67;18.67
1;18.73;18.73;18.73;18.73;18.73
1;18.8;18.8;18.8;18.8;18.8
1;18.86;18.86;18.86;18.86;18.86
1;18.92;18.92;18.92;18.92;18.92
1;18.98;18.98;18.98;18.98;18.98
1;19.04;19.04;19.04;19.04;19.04
1;19.1;19.1;19.1;19.1;19.1
1;19.16;19.16;19.16;19.16;19.16
1;19.22;19.22;19.22;19.22;19.22
1;19.28;19.28;19.28;19.28;19.28
1;19.34;19.34;19.34;19.34;19.34
1;19.4;19.4;19.4;19.4;19.4
1;19.46;19.46;19.46;19.46;19.46
1;19.52;19.52;19.52;19.52;19.52
1;19.58;19.58;19.58;19.58;19.58
1;19.64;19.64;19.64;19.64;19.64
1;19.7;19.7;19.7;19.7;19.7
1;19.77;19.77;19.77;19.77;19.77
1;19.83;19.83;19.83;19.83;19.83
1;19.89;19.89;19.89;19.89;19.89
1;19.95;19.95;19.95;19.95;19.95
1;20.01;20.01;20.01;20.01;20.01
1;20.07;20.07;20.07;20.07;20.07
1;20.13;20.13;20.13;20.13;20.13
1;20.19;20.19;20.19;20.19;20.19
1;20.25;20.25;20.25;20.25;20.25
1;20.31;20.31;20.31;20.31;20.31
1;20.37;20.37;20.37;20.37;20.37
1;20.43;20.43;20.43;20.43;20.43
1;20.49;20.49;20.49;20.49;20.49
1;20.55;20.55;20.55;20.55;20.55
1;20.61;20.61;20.61;20.61;20.61
1;20.67;20.67;20.67;20.67;20.67
1;20.74;20.74;20.74;20.74;20.74
1;20.8;20.8;20.8;20.8;20.8
1;20.86;20.86;20.86;20.86;20.86
1;20.92;20.92;20.92;20.92;20.92
1;20.98;20.98;20.98;20.98;20.98
1;21.04;21.04;21.04;21.04;21.04
1;21.1;21.1;21.1;21.1;21.1
1;21.16;21.16;21.16;21.16;21.16
1;21.22;21.22;21.22;21.22;21.22
1;21.28;21.28;21.28;21.28;21.28
1;21.34;21.34;21.34;21.34;21.34
1;21.4;21.4;21.4;21.4;21.4
1;21.46;21.46;21.46;21.46;21.46
1;21.52;21.52;21.52;21.52;21.52
1;21.58;21.58;21.58;21.58;21.58
1;21.64;21.64;21.64;21.64;21.64
1;21.7;21.7;21.7;21.7;21.7
1;21.77;21.77;21.77;21.77;21.77
1;21.83;21.83;21.83;21.83;21.83
1;21.89;21.89;21.89;21.89;21.89
1;21.95;21.95;21.95;21.95;21.95
1;22.01;22.01;22.01;22.01;22.01
1;22.07;22.07;22.07;22.07;22.07
1;22.13;22.13;22.13;22.13;22.13
1;22.19;22.19;22.19;22.19;22.19
1;22.25;22.25;22.25;22.25;22.25
1;22.31;22.31;22.31;22.31;22.31
1;22.37;22.37;22.37;22.37;22.37
1;22.43;22.43;22.43;22.43;22.43
1;22.49;22.49;22.49;22.49;22.49
1;22.55;22.55;22.55;22.55;22.55
1;22.61;22.61;22.61;22.61;22.61
1;22.67;22.67;22.67;22.67;22.67
1;22.74;22.74;22.74;22.74;22.74
1;22.8;22.8;22.8;22.8;22.8
1;22.86;22.86;22.86;22.86;22.86
1;22.92;22.92;22.92;22.92;22.92
1;22.98;22.98;22.98;22.98;22.98
1;23.04;23.04;23.04;23.04;23.04
1;23.1;23.1;23.1;23.1;23.1
1;23.16;23.16;23.16;23.16;23.16
1;23.22;23.22;23.22;23.22;23.22
1;23.28;23.28;23.28;23.28;23.28
1;23.34;23.34;23.34;23.34;23.34
1;23.4;23.4;23.4;23.4;23.4
1;23.46;23.46;23.46;23.46;23.46
1;23.52;23.52;23.52;23.52;23.52
1;23.58;23.58;23.58;23.58;23.58
1;23.64;23.64;23.64;23.64;23.64
1;23.71;23.71;23.71;23.71;23.71
1;23.77;23.77;23.77;23.77;23.77
1;23.83;23.83;23.83;23.83;23.83
1;23.89;23.89;23.89;23.89;23.89
1;23.95;23.95;23.95;23.95;23.95
1;24.01;24.01;24.01;24.01;24.01
1;24.07;24.07;24.07;24.07;24.07
1;24.13;24.13;24.13;24.13;24.13
1;24.19;24.19;24.19;24.19;24.19
1;24.25;24.25;24.25;24.25;24.25
1;24.31;24.31;24.31;24.31;24.31
1;24.37;24.37;24.37;24.37;24.37
1;24.43;24.43;24.43;24.43;24.43
1;24.49;24.49;24.49;24.49;24.49
1;24.55;24.55;24.55;24.55;24.55
1;24.61;24.61;24.61;24.61;24.61
1;24.68;24.68;24.68;24.68;24.68
1;24.74;24.74;24.74;24.74;24.74
1;24.8;24.8;24.8;24.8;24.8
1;24.86;24.86;24.86;24.86;24.86
1;24.92;24.92;24.92;24.92;24.92
1;24.98;24.98;24.98;24.98;24.98
1;25.04;25.04;25.04;25.04;25.04
1;25.1;25.1;25.1;25.1;25.1
1;25.16;25.16;25.16;25.16;25.16
1;25.22;25.22;25.22;25.22;25.22
1;25.28;25.28;25.28;25.28;25.28
1;25.34;25.34;25.34;25.34;25.34
1;25.4;25.4;25.4;25.4;25.4
1;25.46;25.46;25.46;25.46;25.46
1;25.52;25.52;25.52;25.52;25.52
1;25.58;25.58;25.58;25.58;25.58
1;25.64;25.64;25.64;25.64;25.64
1;25.71;25.71;25.71;25.71;25.71
1;25.77;25.77;25.77;25.77;25.77
1;25.83;25.83;25.83;25.83;25.83
1;25.89;25.89;25.89;25.89;25.89
1;25.95;25.95;25.95;25.95;25.95
1;26.01;26.01;26.01;26.01;26.01
1;26.07;26.07;26.07;26.07;26.07
1;26.13;26.13;26.13;26.13;26.13
1;26.19;26.19;26.19;26.19;26.19
1;26.25;26.25;26.25;26.25;26.25
1;26.31;26.31;26.31;26.31;26.31
1;26.37;26.37;26.37;26.37;26.37
1;26.43;26.43;26.43;26.43;26.43
1;26.49;26.49;26.49;26.49;26.49
1;26.55;26.55;26.55;26.55;26.55
1;26.61;26.61;26.61;26.61;26.61
1;26.68;26.68;26.68;26.68;26.68
1;26.74;26.74;26.74;26.74;26.74
1;26.8;26.8;26.8;26.8;26.8
1;26.86;26.86;26.86;26.86;26.86
1;26.92;26.92;26.92;26.92;26.92
1;26.98;26.98;26.98;26.98;26.98
1;27.04;27.04;27.04;27.04;27.04
1;27.1;27.1;27.1;27.1;27.1
1;27.16;27.16;27.16;27.16;27.16
1;27.22;27.22;27.22;27.22;27.22
1;27.28;27.28;27.28;27.28;27.28
1;27.34;27.34;27.34;27.34;27.34
1;27.4;27.4;27.4;27.4;27.4
1;27.46;27.46;27.46;27.46;27.46
1;27.52;27.52;27.52;27.52;27.52
1;27.58;27.58;27.58;27.58;27.58
1;27.65;27.65;27.65;27.65;27.65
1;27.71;27.71;27.71;27.71;27.71
1;27.77;27.77;27.77;27.77;27.77
1;27.83;27.83;27.83;27.83;27.83
1;27.89;27.89;27.89;27.89;27.89
1;27.95;27.95;27.95;27.95;27.95
1;28.01;28.01;28.01;28.01;28.01
1;28.07;28.07;28.07;28.07;28.07
1;28.13;28.13;28.13;28.13;28.13
1;28.19;28.19;28.19;28.19;28.19
1;28.25;28.25;28.25;28.25;28.25
1;28.31;28.31;28.31;28.31;28.31
1;28.37;28.37;28.37;28.37;28.37
1;28.43;28.43;28.43;28.43;28.43
1;28.49;28.49;28.49;28.49;28.49
1;28.55;28.55;28.55;28.55;28.55
1;28.62;28.62;28.62;28.62;28.62
1;28.68;28.68;28.68;28.68;28.68
1;28.74;28.74;28.74;28.74;28.74
1;28.8;28.8;28.8;28.8;28.8
1;28.86;28.86;28.86;28.86;28.86
1;28.92;28.92;28.92;28.92;28.92
1;28.98;28.98;28.98;28.98;28.98
1;29.04;29.04;29.04;29.04;29.04
1;29.1;29.1;29.1;29.1;29.1
1;29.16;29.16;29.16;29.16;29.16
1;29.22;29.22;29.22;29.22;29.22
1;29.28;29.28;29.28;29.28;29.28
1;29.34;29.34;29.34;29.34;29.34
1;29.4;29.4;29.4;29.4;29.4
1;29.46;29.46;29.46;29.46;29.46
1;29.52;29.52;29.52;29.52;29.52
1;29.58;29.58;29.58;29.58;29.58
1;29.65;29.65;29.65;29.65;29.65
1;29.71;29.71;29.71;29.71;29.71
1;29.77;29.77;29.77;29.77;29.77
1;29.83;29.83;29.83;29.83;29.83
1;29.89;29.89;29.89;29.89;29.89
1;29.95;29.95;29.95;29.95;29.95
1;30.01;30.01;30.01;30.01;30.01
1;30.07;30.07;30.07;30.07;30.07
1;30.13;30.13;30.13;30.13;30.13
1;30.19;30.19;30.19;30.19;30.19
1;30.25;30.25;30.25;30.25;30.25
1;30.31;30.31;30.31;30.31;30.31
1;30.37;30.37;30.37;30.37;30.37
1;30.43;30.43;30.43;30.43;30.43
1;30.49;30.49;30.49;30.49;30.49
1;30.55;30.55;30.55;30.55;30.55
1;30.62;30.62;30.62;30.62;30.62
1;30.68;30.68;30.68;30.68;30.68
1;30.74;30.74;30.74;30.74;30.74
1;30.8;30.8;30.8;30.8;30.8
1;30.86;30.86;30.86;30.86;30.86
1;30.92;30.92;30.92;30.92;30.92
1;30.98;30.98;30.98;30.98;30.98
1;31.04;31.04;31.04;31.04;31.04
1;31.1;31.1;31.1;31.1;31.1
1;31.16;31.16;31.16;31.16;31.16
1;31.22;31.22;31.22;31.22;31.22
1;31.28;31.28;31.28;31.28;31.28
1;31.34;31.34;31.34;31.34;31.34
1;31.4;31.4;31.4;31.4;31.4
1;31.46;31.46;31.46;31.46;31.46
1;31.52;31.52;31.52;31.52;31.52
1;31.59;31.59;31.59;31.59;31.59
1;31.65;31.65;31.65;31.65;31.65
1;31.71;31.71;31.71;31.71;31.71
1;31.77;31.77;31.77;31.77;31.77
1;31.83;31.83;31.83;31.83;31.83
1;31.89;31.89;31.89;31.89;31.89
1;31.95;31.95;31.95;31.95;31.95
1;32.01;32.01;32.01;32.01;32.01
1;32.07;32.07;32.07;32.07;32.07
1;32.13;32.13;32.13;32.13;32.13
1;32.19;32.19;32.19;32.19;32.19
1;32.25;32.25;32.25;32.25;32.25
1;32.31;32.31;32.31;32.31;32.31
1;32.37;32.37;32.37;32.37;32.37
1;32.43;32.43;32.43;32.43;32.43
1;32.49;32.49;32.49;32.49;32.49
1;32.56;32.56;32.56;32.56;32.56
1;32.62;32.62;32.62;32.62;32.62
1;32.68;32.68;32.68;32.68;32.68
1;32.74;32.74;32.74;32.74;32.74
1;32.8;32.8;32.8;32.8;32.8
1;32.86;32.86;32.86;32.86;32.86
1;32.92;32.92;32.92;32.92;32.92
1;32.98;32.98;32.98;32.98;32.98
1;33.04;33.04;33.04;33.04;33.04
1;33.1;33.1;33.1;33.1;33.1
1;33.16;33.16;33.16;33.16;33.16
1;33.22;33.22;33.22;33.22;33.22
1;33.28;33.28;33.28;33.28;33.28
1;33.34;33.34;33.34;33.34;33.34
1;33.4;33.4;33.4;33.4;33.4
1;33.46;33.46;33.46;33.46;33.46
1;33.52;33.52;33.52;33.52;33.52
1;33.59;33.59;33.59;33.59;33.59
1;33.65;33.65;33.65;33.65;33.65
1;33.71;33.71;33.71;33.71;33.71
1;33.77;33.77;33.77;33.77;33.77
1;33.83;33.83;33.83;33.83;33.83
1;33.89;33.89;33.89;33.89;33.89
1;33.95;33.95;33.95;33.95;33.95
1;34.01;34.01;34.01;34.01;34.01
1;34.07;34.07;34.07;34.07;34.07
1;34.13;34.13;34.13;34.13;34.13
1;34.19;34.19;34.19;34.19;34.19
1;34.25;34.25;34.25;34.25;34.25
1;34.31;34.31;34.31;34.31;34.31
1;34.37;34.37;34.37;34.37;34.37
1;34.43;34.43;34.43;34.43;34.43
1;34.49;34.49;34.49;34.49;34.49
1;34.56;34.56;34.56;34.56;34.56
1;34.62;34.62;34.62;34.62;34.62
1;34.68;34.68;34.68;34.68;34.68
1;34.74;34.74;34.74;34.74;34.74
1;34.8;34.8;34.8;34.8;34.8
1;34.86;34.86;34.86;34.86;34.86
1;34.92;34.92;34.92;34.92;34.92
1;34.98;34.98;34.98;34.98;34.98
1;35.04;35.04;35.04;35.04;35.04
1;35.1;35.1;35.1;35.1;35.1
1;35.16;35.16;35.16;35.16;35.16
1;35.22;35.22;35.22;35.22;35.22
1;35.28;35.28;35.28;35.28;35.28
1;35.34;35.34;35.34;35.34;35.34
1;35.4;35.4;35.4;35.4;35.4
1;35.46;35.46;35.46;35.46;35.46
1;35.53;35.53;35.53;35.53;35.53
1;35.59;35.59;35.59;35.59;35.59
1;35.65;35.65;35.65;35.65;35.65
1;35.71;35.71;35.71;35.71;35.71
1;35.77;35.77;35.77;35.77;35.77
1;35.83;35.83;35.83;35.83;35.83
1;35.89;35.89;35.89;35.89;35.89
1;35.95;35.95;35.95;35.95;35.95
1;36.01;36.01;36.01;36.01;36.01
1;36.07;36.07;36.07;36.07;36.07
1;36.13;36.13;36.13;36.13;36.13
1;36.19;36.19;36.19;36.19;36.19
1;36.25;36.25;36.25;36.25;36.25
1;36.31;36.31;36.31;36.31;36.31
1;36.37;36.37;36.37;36.37;36.37
1;36.43;36.43;36.43;36.43;36.43
1;36.5;36.5;36.5;36.5;36.5
1;36.56;36.56;36.56;36.56;36.56
1;36.62;36.62;36.62;36.62;36.62
